name,imdb_avg,num,fb_likes
Patrick Kilpatrick,6.2,1,488
Patrick Huard,6.6,1,50
Patrick Fugit,7.366666667,3,2505
Patricia Tallman,7.6,1,901
Patricia Neal,7.9,1,617
Parry Shen,7.2,1,94
Pamela Reed,6.2,1,324
Pam Ferris,6.4,1,771
Paige Turco,4.8,1,533
Padraic Delaney,7.5,1,97
Paddy Considine,7.125,4,2720
Pablo Sevilla,7,1,0
Pablo Rago,6.7,1,20
P.J. Soles,4.6,1,598
Otto Jespersen,7,1,29
Óscar Jaenada,6.8,1,619
Osama bin Laden,7.5,1,503
Ornella Muti,6.3,1,385
Orlando Bloom,7.333333333,3,15000
Oprah Winfrey,6.933333333,3,2556
Omari Hardwick,6.025,4,4000
Omar Sy,7.2,1,1000
Omar Epps,6.34,5,4325
Olivier Martinez,6.525,4,3349
Olivia Williams,6.35,2,1532
Olivia Wilde,6.066666667,6,60000
Olivia Rose Keegan,4.3,1,216
Olivia Newton-John,7.2,1,1000
Olivia Munn,5.666666667,3,6000
Oliver Reed,7.733333333,3,2084
Oliver Platt,6.21,10,10000
Oliver James,5.9,1,1000
Oliver Hudson,4.9,2,1214
Ólafur Darri Ólafsson,8.2,1,147
Oksana Akinshina,7.9,1,129
Ohad Knoller,7.3,1,53
Odeya Rush,6.4,2,4000
Odessa Rae,7.1,1,109
Ocean James,6.2,1,432
Numan Acar,6.6,1,374
Noureen DeWulf,2.7,1,700
Norman Reedus,6.533333333,6,72000
Norman Lloyd,7.6,1,472
Norma Aleandro,7.2,1,24
Norbert Ferrer,6.9,1,55
Nora Zehetner,5.5,1,446
Nora Dunn,4.3,1,142
Nolan Gerard Funk,3.9,1,924
Noel Gugliemi,5.875,4,8000
Noel Fisher,5.725,4,3332
Noam Chomsky,8.3,2,206
Noah Taylor,7.6,2,1018
Noah Segan,4.4,1,236
Noah Huntley,7.6,1,133
Noah Emmerich,7,1,617
Noah Danby,3.3,1,178
Noah Bean,6.5,1,293
Nissim Renard,6.4,1,23
Nirut Sirichanya,6.2,1,64
Nimrat Kaur,8.5,1,85
Nicole Smolen,6.9,1,210
Nicole Randall Johnson,6.2,1,363
Nicole Muñoz,6.8,1,199
Nicole Dionne,5.7,1,94
Nicole Beharie,6.6,2,1796
Nicole Ari Parker,6.5,1,360
Nicole 'Snooki' Polizzi,6.6,1,341
Nicolas Giraud,6.4,1,24
Nicolas Cage,6.118181818,33,396000
Nicki Aycox,5.6,1,296
Nick Wechsler,7.1,1,666
Nick Stahl,7,2,1296
Nichole Ceballos,5.4,1,5
Nicholas Rowe,6.8,1,155
Nicholas Lea,5.9,1,867
Nicholas Hamilton,5.2,1,147
Nicholas Gonzalez,5.166666667,3,1803
Nicholas Aaron,8.1,1,21
Nia Vardalos,6.2,3,1701
Nia Long,5.916666667,6,4956
Neil Hopkins,3.3,1,231
Nehemiah Persoff,8.3,1,105
Necati Sasmaz,6,1,205
Necar Zadegan,5.2,1,344
Nawazuddin Siddiqui,7.8,1,638
Nathan Lane,5.6,2,1772
Nathalie Fay,6.3,1,227
Nate Richert,6.6,1,870
Nate Parker,6.95,2,1328
Natasha Lyonne,6.383333333,6,6000
Natasha Henstridge,5.3,3,2700
Natascha McElhone,5.7,2,4000
Nataniel Sánchez,7.2,1,3
Natalie Zea,7.5,1,841
Natalie Portman,6.79375,16,320000
Nat Wolff,6.4,1,733
Naseeruddin Shah,6.85,2,614
Naomi Watts,6.70625,16,96000
Nandita Das,7.8,1,113
Nancy O'Dell,5.4,1,71
Nancy Allen,7.4,1,517
Najarra Townsend,7.4,1,538
Naderev Sano,7,1,0
Myrna Loy,8.1,1,749
MyAnna Buring,6.233333333,3,1539
Mustafa Haidari,7.6,1,283
Muse Watson,5.42,5,225000
Murray Bartlett,6.1,1,141
Moritz Bleibtreu,7.6,2,972
Morgana O'Reilly,6.8,1,61
Morgan Saylor,7.4,1,427
Morgan Freeman,6.752,25,275000
Montgomery Clift,7.666666667,3,2586
Monique Gabriela Curnen,6.2,1,239
Monique Candelaria,5.5,1,696
Monica Potter,5.4,1,878
Monica Calhoun,5.3,1,597
Monica Barladeanu,7.1,1,129
Molly Parker,6,1,611
Molly C. Quinn,4.3,1,707
Mo'Nique,5.475,8,7514
Mitsuo Iwata,8.1,1,6
Mitch Pileggi,5.9,1,826
Misha Gabriel Hamilton,7.3,1,433
Miriam Margolyes,6.575,4,1620
Mireille Enos,5.7,2,2000
Mircea Monroe,4.9,1,633
Miranda Richardson,6.8,1,530
Miranda Cosgrove,6.25,2,4000
Mira Sorvino,5.94,5,4890
Minnie Driver,7.214285714,7,6251
Ming-Na Wen,5.066666667,3,6000
Min-sik Choi,8.066666667,3,2151
Milla Jovovich,6.06875,16,224000
Mila Kunis,6.466666667,9,135000
Miko Hughes,6.5,2,1938
Mike Vogel,6.666666667,3,6000
Mike Tyson,7.2,1,461
Mike Starr,6.275,4,3416
Mike Stanley,5.2,1,385
Mike Howard,7.1,1,378
Mike Figueroa,6.2,1,343
Mike Epps,5.45,2,1412
Mike Beckingham,2.2,1,358
Mikal Vega,3.4,1,741
Miguel Ferrer,6.266666667,3,2064
Mick Jagger,7.2,1,543
Michiel Huisman,7.4,3,6000
Michelle Simone Miller,4.5,1,118
Michel Robin,7.8,1,23
Michaela Conlin,7.9,1,1000
Michael Wong,5.3,1,91
Michael Wincott,7.366666667,3,2161
Michael Stuhlbarg,7,1,816
Michael Smiley,7,3,531
Michael Raymond-James,6.8,1,788
Michael Rapaport,6.3,4,3900
Michael Pollan,7.9,1,37
Michael O'Neill,7.6,1,599
Michael Nyqvist,7.85,2,1380
Michael Nouri,6.1,1,225
Michael Moore,7.2,4,3636
Michael McKean,6.35,2,1316
Michael Kelly,6.425,4,3852
Michael Joiner,6.4,1,77000
Michael Jeter,6.15,2,1386
Michael Jai White,5.066666667,9,18000
Michael J. Pollard,6.2,1,206
Michael Imperioli,5.92,5,4365
Michael Gross,5.3,1,536
Michael Greyeyes,7.2,1,912
Michael Gough,5.925,4,3680
Michael Fassbender,6.65,10,130000
Michael Emerson,7.333333333,3,6000
Michael Dudikoff,4.7,1,615
Michael Des Barres,4.5,1,156
Michael Derek,7.2,1,128
Michael Biehn,6.422222222,9,18000
Michael Berryman,4.366666667,3,2163
Michael Angarano,6.575,4,3788
Michael Abbott Jr.,7.3,1,35
Micah Sloat,6.3,1,189
Mia Wasikowska,6.75,2,6000
Mia Sara,5.8,1,664
Mía Maestro,6.95,2,682
Mia Kirshner,6.2,1,972
Mia Farrow,6.6,2,1126
Mhairi Calvey,8.4,1,906
Meryl Streep,6.823076923,13,143000
Merritt Wever,6.2,1,529
Merab Ninidze,7.7,1,56
Mem Ferda,6.55,2,62000
Melissa Sagemiller,3.9,1,159
Melissa Bolona,3.4,1,11000
Melinda Clarke,6.8,2,1574
Melina Kanakaredes,6.7,1,394
Melanie Papalia,3.9,1,259
Melanie Griffith,6.55,2,1074
Mel Blanc,7.5,1,1000
Mekhi Phifer,6.28,5,5000
Mei Melançon,6.6,1,191
Mehcad Brooks,6.05,2,1392
Meghan Ory,4.6,1,889
Megan Park,5.7,1,569
Meg Foster,7.3,1,355
Meat Loaf,5.166666667,3,2349
Mckenna Grace,8,1,502
Maximilian Schell,8.3,1,877
Maximilian Dirr,5.7,1,61
Max Riemelt,7.6,1,287
Max Minghella,6.05,2,1228
Maury Chaykin,4.3,1,232
Maureen McCormick,2.2,1,458
Maura Tierney,6.75,2,1018
Matthew Ziff,6.2,3,780000
Matthew Settle,4.6,1,477
Matthew Senreich,7.8,1,11
Matthew Perry,5.933333333,3,6000
Matthew McConaughey,6.73,20,220000
Matthew Emerick,7.1,1,431
Matthew Broderick,6.427272727,11,22000
Matthew Alan,6.3,1,86
Matt Walsh,6.05,2,980
Matt Smith,5.8,1,2000
Matt Shively,4.6,1,235
Matt Price,7.4,1,134
Matt Lucas,6.8,1,722
Matt Frewer,7,2,1972
Matt Damon,6.983333333,30,390000
Matt Cohen,4.1,1,487
Matt Bomer,6.125,4,80000
Matt Bennett,4.6,1,189
Matisyahu,7.5,1,178
Mathieu Kassovitz,8.4,1,326
Mathieu Amalric,6.3,2,824
Mathew Buck,7.2,1,5
Mary-Kate Olsen,5.9,2,1952
Mary McDonnell,8,1,933
Mary Lynn Rajskub,6.3,3,2802
Mary Kate Wiles,8.3,1,84
Mary Elizabeth Mastrantonio,7.1,1,638
Martin Starr,5.1,2,1970
Martin Short,7.275,4,3080
Martin Landau,6.577777778,9,8460
Martin Kove,6.166666667,3,2004
Martin Dew,6.7,1,204
Marshall Bell,8.1,1,217
Marshal Hilton,4.3,1,471
Marsha Thomason,4.9,1,691
