actor_1_name,genres,score,actor_1_facebook_likes,Num
Michiel Huisman,Drama|Thriller|War,7.8,2000,1
Meryl Streep,Drama|Thriller|War,6.2,11000,1
Gerard Butler,Drama|Thriller|War,6.2,18000,1
Tom Wilkinson,Drama|Thriller,6.9,1000,1
Tom Cruise,Drama|Thriller,7.6,10000,1
Sydney Pollack,Drama|Thriller,6.5,521,1
Stockard Channing,Drama|Thriller,6.4,944,1
Sebastian Koch,Drama|Thriller,8.5,380,1
Roscoe Lee Browne,Drama|Thriller,6.3,204,1
Rosario Dawson,Drama|Thriller,6,3000,1
Robin Williams,Drama|Thriller,6.8,49000,1
Robert De Niro,Drama|Thriller,5.4,22000,1
Ray Winstone,Drama|Thriller,5.7,1000,1
Paddy Considine,Drama|Thriller,6,680,1
Olivier Martinez,Drama|Thriller,6.7,838,1
Nolan Gerard Funk,Drama|Thriller,3.9,924,1
Nicole Smolen,Drama|Thriller,6.9,210,1
Nicolas Cage,Drama|Thriller,5.6,24000,2
Nate Parker,Drama|Thriller,6.6,664,1
Natalie Portman,Drama|Thriller,7.4,60000,3
Naomi Watts,Drama|Thriller,7.6,6000,1
Mira Sorvino,Drama|Thriller,5.4,978,1
Michael Abbott Jr.,Drama|Thriller,7.3,35,1
Mia Wasikowska,Drama|Thriller,6.8,3000,1
Max Riemelt,Drama|Thriller,7.6,287,1
Matthew Ziff,Drama|Thriller,3.9,260000,1
Matt Damon,Drama|Thriller,6.866666667,39000,3
Magi Avila,Drama|Thriller,3.9,92,1
Laurence Olivier,Drama|Thriller,7,1000,1
Khandi Alexander,Drama|Thriller,5.9,556,1
Kevin Pollak,Drama|Thriller,6.5,574,1
Katy Mixon,Drama|Thriller,6.9,1964,2
Katharine Isabelle,Drama|Thriller,6,918,1
Kate Winslet,Drama|Thriller,6.2,14000,1
Joseph Gordon-Levitt,Drama|Thriller,5.6,23000,1
Joe Mantegna,Drama|Thriller,6.3,1000,1
Jimmy Shergill,Drama|Thriller,4.7,327,1
Jim Sturgess,Drama|Thriller,6.9,5000,1
Jessica Lowndes,Drama|Thriller,4.8,1000,1
Jeff Bridges,Drama|Thriller,7,12000,1
James Nesbitt,Drama|Thriller,7.3,773,1
J.K. Simmons,Drama|Thriller,6.8,24000,1
Ezra Miller,Drama|Thriller,7.5,3000,1
Erika Christensen,Drama|Thriller,5,931,1
Denzel Washington,Drama|Thriller,7.3,18000,1
Denis O'Hare,Drama|Thriller,6.6,896,1
Demi Moore,Drama|Thriller,6,2000,1
Daniel Radcliffe,Drama|Thriller,6.1,11000,1
Christian Bale,Drama|Thriller,7.7,23000,1
Chris Brochu,Drama|Thriller,4.8,795,1
Chazz Palminteri,Drama|Thriller,7,979,1
Charlotte Rampling,Drama|Thriller,6.2,844,1
Bruce Greenwood,Drama|Thriller,6.4,991,1
Boris Kodjoe,Drama|Thriller,5.2,1000,1
Bob Hoskins,Drama|Thriller,7,5000,1
Anthony Hopkins,Drama|Thriller,6.5,12000,1
Angeliki Papoulia,Drama|Thriller,7.3,47,1
Alexander Skarsg?rd,Drama|Thriller,6.9,10000,1
Al Pacino,Drama|Thriller,5.75,28000,2
Adriana Barraza,Drama|Thriller,8.1,85,1
Zach Gilford,Drama|Sport,8.7,971,1
Vivica A. Fox,Drama|Sport,6,890,1
Tom Hardy,Drama|Sport,8.2,27000,1
Tom Cruise,Drama|Sport,7,10000,1
Sylvester Stallone,Drama|Sport,7.666666667,39000,3
Ryan Gosling,Drama|Sport,6.1,33000,1
Matthew McConaughey,Drama|Sport,7.1,11000,1
Mark Margolis,Drama|Sport,7.9,1000,1
Keanu Reeves,Drama|Sport,6.3,18000,1
Jennifer Garner,Drama|Sport,6.8,3000,1
Jake Gyllenhaal,Drama|Sport,7.5,15000,1
Harry Lennix,Drama|Sport,6.8,748,1
George C. Scott,Drama|Sport,8,654,1
Ellen Burstyn,Drama|Sport,6.5,1000,1
Don Wallace,Drama|Sport,6.6,54,1
Denzel Washington,Drama|Sport,6.9,18000,1
Daniel Stern,Drama|Sport,6.9,796,1
Clint Eastwood,Drama|Sport,7.45,32000,2
Channing Tatum,Drama|Sport,7.2,17000,1
Bruce Dern,Drama|Sport,6.5,844,1
Alice Braga,Drama|Sport,6.8,1000,1
Alex Kendrick,Drama|Sport,6.7,589,1
Al Pacino,Drama|Sport,6.8,14000,1
Thomas Stroppel,Drama|Sci-Fi|Thriller,5.6,192,1
Shane Carruth,Drama|Sci-Fi|Thriller,7,291,1
Scoot McNairy,Drama|Sci-Fi|Thriller,6.4,660,1
Rory Culkin,Drama|Sci-Fi|Thriller,6.7,710,1
Paul Hickert,Drama|Sci-Fi|Thriller,6.3,110,1
Michael Kelly,Drama|Sci-Fi|Thriller,7.1,963,1
Michael Biehn,Drama|Sci-Fi|Thriller,5.8,2000,1
Keanu Reeves,Drama|Sci-Fi|Thriller,5.5,36000,2
Johnny Depp,Drama|Sci-Fi|Thriller,5.3,80000,2
Jake Gyllenhaal,Drama|Sci-Fi|Thriller,8.1,15000,1
Charlie Hunnam,Drama|Sci-Fi|Thriller,7.9,16000,1
Blair Underwood,Drama|Sci-Fi|Thriller,7.8,685,1
Barry Corbin,Drama|Sci-Fi|Thriller,5,883,1
Tom Hanks,Drama|Sci-Fi,7.5,15000,1
Robert De Niro,Drama|Sci-Fi,8,22000,1
Nora Zehetner,Drama|Sci-Fi,5.5,446,1
Leonid Yarmolnik,Drama|Sci-Fi,6.7,4,1
James Morrison,Drama|Sci-Fi,7.7,210,1
Hugh Jackman,Drama|Sci-Fi,7.3,20000,1
Bruce Dern,Drama|Sci-Fi,6.7,844,1
